,A,B,C,D,E,F,G
14806,34,45,21,15,32,11,30
14805,06,15,35,18,25,33,46
14804,30,38,18,25,01,10,23
14803,03,27,24,41,47,17,23
14802,43,11,15,04,37,03,02
14801,18,10,08,17,06,13,04
14800,03,36,05,24,17,22,04
14799,21,44,10,39,41,05,26
14798,45,09,30,01,40,22,33
14797,32,15,47,40,19,36,09
14796,15,29,39,48,36,45,19
14795,03,18,14,46,43,15,28
14794,37,20,23,21,22,48,02
14793,14,44,25,20,19,08,13
14792,45,28,19,34,17,08,07
14791,28,34,02,18,12,24,45
14790,07,34,46,18,30,15,29
14789,18,47,04,19,40,31,12
14788,07,09,13,18,38,22,32
14787,22,21,10,39,44,13,42
14786,37,11,08,21,30,12,38
14785,44,19,02,35,03,18,05
14784,26,22,44,16,20,24,42
14783,21,38,41,13,07,02,39
14782,49,06,23,22,14,11,18
14781,25,45,24,34,10,22,08
14780,41,29,35,01,32,17,28
14779,15,05,43,10,27,38,34
14778,08,13,43,31,46,11,20
14777,28,35,27,24,16,37,11
14776,32,06,39,40,31,04,29
14775,08,23,03,37,47,48,29
14774,19,01,46,24,05,30,47
14773,46,38,25,33,14,18,17
14772,25,39,23,46,26,38,37
14771,29,02,15,07,10,34,17
14770,27,13,14,04,30,15,34
14769,08,47,39,17,23,15,10
14768,34,06,48,41,09,11,15
14767,25,36,28,16,17,08,18
14766,20,42,07,34,32,48,03
14765,33,42,28,25,39,22,47
14764,49,33,41,13,26,18,19
14763,10,48,28,49,45,39,15
14762,29,46,40,24,13,18,07
14761,34,43,20,35,46,04,23
14760,45,44,08,41,29,47,30
14759,06,09,47,27,16,48,03
14758,11,46,30,25,43,07,29
14757,07,47,05,09,46,34,22
14756,36,40,38,25,23,01,33
14755,20,25,38,37,12,46,01
14754,17,29,32,47,39,05,03
14753,41,18,46,33,45,23,42
14752,13,19,10,21,04,01,38
14751,42,01,02,03,18,39,09
14750,22,29,25,49,16,20,24
14749,16,25,48,02,27,19,14
14748,32,18,23,12,31,28,02
14747,48,17,04,18,07,10,49
14746,01,35,17,07,10,37,08
14745,19,41,28,13,07,01,05
14744,38,15,01,44,03,16,33
14743,27,23,17,26,14,31,05
14742,09,10,42,49,25,17,40
14741,07,49,05,47,38,18,16
14740,02,24,44,36,48,43,08
14739,12,37,29,18,33,24,41
14738,35,08,38,23,12,44,19
14737,42,23,16,33,08,06,46
14736,12,08,15,45,06,20,19
14735,05,13,18,38,31,44,46
14734,11,47,23,17,44,01,06
14733,47,05,27,23,39,31,14
14732,34,10,12,49,18,02,23
14731,34,02,14,29,30,45,24
14730,15,18,11,19,44,38,29
14729,43,35,45,19,37,06,46
14728,47,31,35,42,30,11,28
14727,35,15,49,25,23,11,12
14726,30,36,08,37,38,22,41
14725,40,10,28,25,07,16,42
14724,45,43,16,47,17,46,11
14723,27,30,02,28,29,46,19
14722,22,34,47,26,25,39,40
14721,49,09,37,23,43,04,46
14720,38,48,40,28,22,19,24
14719,38,03,31,07,29,47,42
14718,30,37,39,02,09,12,34
14717,20,26,36,24,07,06,18
14716,28,45,32,03,18,21,22
14715,23,27,01,12,36,21,38
14714,38,39,29,09,47,28,34
14713,12,17,21,06,41,20,45
14712,17,21,12,09,39,27,47
14711,46,13,36,15,44,04,29
14710,09,05,20,37,01,12,39
14709,20,28,13,49,08,41,44
14708,05,01,25,42,43,49,44
14707,15,31,09,06,36,27,17
14706,07,35,49,28,47,10,30
14705,23,38,07,35,34,01,11
14704,03,23,09,12,29,48,30
14703,25,08,15,09,41,32,12
14702,16,41,25,07,30,09,13
14701,46,06,30,10,44,09,07
14700,41,17,30,16,23,35,20
14699,24,25,32,17,16,23,15
14698,06,18,42,12,21,05,43
14697,16,10,08,34,04,25,40
14696,12,47,08,37,05,26,06
14695,37,44,31,49,45,39,29
14694,48,10,37,11,42,17,46
14693,07,10,11,30,46,16,36
14692,27,30,20,29,19,08,18
14691,08,30,20,33,04,11,49
14690,02,09,24,12,06,41,23
14689,32,44,14,47,31,11,30
14688,33,18,06,42,01,10,43
14687,34,03,12,21,14,23,40
14686,49,43,29,14,31,39,28
14685,31,46,09,45,40,43,44
14684,09,19,11,10,25,41,30
14683,45,26,35,21,31,30,38
14682,26,28,17,39,40,21,42
14681,05,31,27,42,32,04,26
14680,23,40,16,25,38,43,30
14679,26,10,13,31,01,04,09
14678,47,32,37,43,16,29,18
14677,27,42,09,44,34,20,12
14676,47,43,20,03,22,31,25
14675,37,27,33,10,17,49,31
14674,30,06,41,03,21,31,11
14673,28,03,36,12,29,21,23
14672,20,34,47,08,14,48,11
14671,05,16,44,06,42,33,02
14670,43,36,17,05,04,21,14
14669,23,46,22,11,37,26,29
14668,19,22,25,21,24,26,29
14667,05,15,29,38,02,34,25
14666,17,18,45,28,24,40,22
14665,14,35,08,41,03,04,23
14664,03,47,13,24,07,23,06
14663,07,24,37,38,49,31,10
14662,45,11,16,37,18,28,13
14661,04,42,23,44,14,33,07
14660,11,48,10,28,02,45,34
14659,25,36,44,01,11,48,45
14658,48,21,09,49,04,03,05
14657,37,46,09,19,01,24,18
14656,04,27,41,46,47,06,26
14655,14,26,04,13,18,42,27
14654,43,44,17,46,20,45,05
14653,48,46,21,31,03,18,14
14652,23,11,36,29,35,41,38
14651,29,43,47,39,21,07,42
14650,24,29,31,26,42,15,48
14649,11,25,08,05,40,38,02
14648,38,20,10,19,47,06,04
14647,45,36,03,34,30,20,48
14646,01,44,19,24,11,20,03
14645,04,17,36,30,11,10,28
14644,02,26,46,24,07,48,11
14643,40,19,34,03,48,17,30
14642,06,26,10,07,18,22,31
14641,37,09,18,20,03,47,21
14640,45,43,40,19,11,35,08
14639,22,14,05,06,32,04,10
14638,23,38,26,32,46,36,03
14637,04,40,39,28,36,24,49
14636,05,18,36,13,49,22,34
14635,07,43,33,48,18,39,41
14634,33,16,03,11,32,36,05
14633,09,21,49,33,04,35,34
14632,23,18,32,28,30,14,06
14631,45,25,37,21,12,19,10
14630,07,39,45,09,22,10,49
14629,20,01,49,05,24,34,28
14628,05,49,45,28,44,01,12
14627,11,14,27,45,40,20,05
14626,16,03,49,34,32,23,10
14625,34,05,32,35,09,40,47
14624,39,41,24,47,26,34,37
14623,24,17,04,07,46,36,05
14622,01,02,04,21,28,19,25
14621,45,23,10,08,04,06,40
14620,29,16,15,03,04,47,01
14619,45,14,37,30,29,34,39
14618,12,28,23,15,16,05,37
14617,33,38,03,10,25,12,14
14616,14,40,29,23,49,48,04
14615,08,04,12,17,03,06,48
14614,20,12,10,18,01,34,24
14613,17,18,41,14,13,42,30
14612,45,05,14,07,17,49,27
14611,33,32,30,41,03,07,13
14610,18,45,33,19,47,37,23
14609,30,11,22,21,49,26,17
14608,08,23,49,38,01,05,31
14607,22,17,10,02,46,21,11
14606,27,06,21,25,35,08,16
14605,10,19,16,48,06,01,47
14604,30,42,48,28,04,37,21
14603,47,38,42,28,08,44,03
14602,11,32,26,44,37,15,16
14601,46,09,04,45,29,23,43
14600,13,48,26,18,14,29,01
14599,14,04,47,17,10,24,32
14598,32,44,23,36,16,22,45
14597,48,09,18,01,35,32,12
14596,16,15,25,18,37,05,38
14595,30,12,23,25,08,09,44
14594,20,08,07,27,33,16,29
14593,28,08,14,36,30,27,38
14592,36,49,22,20,28,32,47
14591,09,29,02,15,39,48,36
14590,30,03,13,20,22,08,25
14589,47,04,46,13,02,09,26
14588,10,32,38,30,45,22,42
14587,25,02,06,46,37,41,12
14586,42,25,33,26,01,27,17
14585,42,21,34,43,37,27,32
14584,39,08,32,11,45,01,22
14583,40,16,07,20,30,46,36
14582,44,38,12,29,14,03,15
14581,10,20,47,18,40,49,24
14580,31,27,09,22,08,43,03
14579,46,33,08,42,48,11,04
14578,41,21,05,28,31,26,20
14577,15,49,25,38,20,16,30
14576,25,41,04,46,33,10,39
14575,41,37,29,39,02,15,35
14574,19,16,05,03,26,48,02
14573,42,39,10,38,36,18,04
14572,12,18,03,06,47,44,27
14571,43,35,05,17,24,46,44
14570,40,44,43,16,20,28,38
14569,15,28,27,41,29,25,14
14568,38,47,15,37,08,49,25
14567,16,22,11,41,49,01,29
14566,47,40,23,15,17,18,49
14565,33,34,10,29,49,07,20
14564,08,12,27,30,21,49,09
14563,09,05,03,37,43,24,45
14562,02,21,37,46,28,38,30
14561,15,01,30,05,19,09,32
14560,27,22,44,20,25,29,04
14559,29,25,40,41,05,02,44
14558,32,02,25,26,12,28,47
14557,31,34,42,20,04,16,45
14556,09,10,11,07,21,06,12
14555,19,44,30,48,14,15,06
14554,13,12,31,48,25,42,01
14553,08,03,35,40,14,11,24
14552,39,47,34,31,26,45,11
14551,46,15,12,16,05,47,01
14550,39,40,28,34,41,49,23
14549,47,13,18,35,28,21,36
14548,12,49,45,05,31,48,43
14547,48,01,36,40,12,47,35
14546,03,40,49,11,44,14,05
14545,38,05,31,22,13,23,04
14544,28,19,41,03,32,43,37
14543,07,33,35,46,37,01,26
14542,13,41,47,48,12,30,44
14541,04,14,23,05,37,31,03
14540,18,05,36,02,10,40,34
14539,20,12,40,06,49,45,04
14538,17,49,38,43,01,02,03
14537,15,37,43,05,45,39,35
14536,13,09,17,41,12,04,05
14535,46,28,15,49,08,47,36
14534,47,29,20,15,39,45,12
14533,34,04,19,46,32,37,06
14532,07,08,23,16,10,24,41
14531,43,16,44,31,33,24,02
14530,37,07,45,13,20,16,23
14529,24,21,17,16,47,43,34
14528,37,43,09,24,36,29,33
14527,44,22,46,05,19,04,28
14526,02,19,25,13,21,38,42
14525,39,42,30,11,28,18,32
14524,23,09,39,08,28,31,36
14523,33,09,37,26,05,28,23
14522,45,35,26,47,22,43,38
14521,25,23,15,46,02,24,45
14520,09,45,14,02,08,05,38
14519,34,49,46,22,18,40,28
14518,28,12,38,21,15,49,03
14517,09,45,46,36,15,26,32
14516,21,01,42,13,19,04,09
14515,16,11,12,20,22,13,29
14514,49,34,08,26,22,15,18
14513,46,05,38,41,29,48,09
14512,33,16,10,05,04,32,22
14511,39,21,11,49,36,37,30
14510,32,04,45,46,22,02,33
14509,48,14,11,33,02,32,34
14508,03,07,06,16,40,24,13
14507,30,02,20,14,29,45,21
14506,34,01,24,15,11,38,39
14505,22,09,04,06,48,02,47
14504,41,12,09,10,17,31,39
14503,36,27,21,44,35,16,43
14502,37,16,02,47,10,40,18
14501,21,44,07,35,31,47,39
14500,39,33,45,15,21,26,13
14499,40,27,22,31,19,26,16
14498,47,31,17,37,13,19,07
14497,38,45,47,49,03,33,23
14496,15,12,05,32,11,14,18
14495,34,43,05,12,46,16,06
14494,23,02,04,15,35,46,12
14493,19,26,38,47,34,27,33
14492,39,24,04,25,06,47,22
14491,09,48,33,24,37,38,44
14490,48,38,25,36,14,18,22
14489,26,34,46,08,11,09,35
14488,03,35,31,06,36,18,12
14487,33,31,35,41,15,38,23
14486,34,22,39,46,03,05,12
14485,10,09,40,20,12,22,13
14484,13,29,01,05,08,42,07
14483,30,29,24,10,09,49,12
14482,36,34,17,27,08,42,25
14481,14,03,49,42,28,26,38
14480,48,12,22,41,08,17,18
14479,33,27,04,16,14,20,19
14478,21,29,08,07,41,18,09
14477,35,19,24,02,43,21,29
14476,40,26,29,44,13,28,23
14475,30,04,38,15,16,37,36
14474,05,09,29,27,20,42,37
14473,14,12,48,33,20,41,01
14472,29,22,17,12,45,02,10
14471,09,19,26,27,32,04,39
14470,20,22,18,11,43,16,10
14469,11,12,05,38,45,26,30
14468,48,24,25,21,18,17,06
14467,46,29,10,42,21,49,15
14466,17,35,04,02,31,46,47
14465,17,45,10,27,03,47,22
14464,05,11,48,29,33,38,03
14463,07,39,12,05,01,36,14
14462,36,01,40,07,35,49,32
14461,02,03,47,28,32,46,36
14460,14,13,43,01,46,38,47
14459,23,43,41,30,13,48,27
14458,28,43,04,40,26,36,37
14457,16,04,02,27,11,03,29
14456,44,36,46,13,32,27,35
14455,01,26,41,06,36,33,23
14454,05,23,08,04,22,47,34
14453,01,10,29,25,41,04,43
14452,18,15,23,46,11,42,07
14451,32,30,46,47,24,02,05
14450,02,05,07,34,25,32,16
14449,29,43,23,33,30,40,37
14448,35,40,47,24,19,39,29
14447,43,10,01,19,14,42,31
14446,06,23,25,29,02,07,34
14445,48,11,46,13,02,12,19
14444,23,01,07,31,06,34,14
14443,11,03,46,09,27,38,44
14442,32,14,34,06,47,49,31
14441,37,13,16,48,31,49,10
14440,49,03,05,40,17,31,01
14439,08,26,42,16,11,10,21
14438,20,38,22,48,28,13,01
14437,30,06,10,15,37,08,22
14436,21,34,46,10,01,25,37
14435,05,37,20,44,18,25,41
14434,26,17,25,37,44,23,12
14433,35,11,06,30,07,18,05
14432,43,18,37,20,02,48,07
14431,33,49,17,48,36,19,13
14430,36,45,42,06,39,43,38
14429,13,03,20,45,49,14,27
14428,36,47,28,21,37,48,32
14427,22,47,28,35,19,05,33
14426,25,14,06,22,31,42,12
14425,43,11,42,12,22,45,01
14424,06,22,16,08,09,33,05
14423,08,32,26,28,22,36,21
14422,41,46,23,29,42,01,39
14421,24,47,06,39,18,38,21
14420,20,32,07,11,33,39,43
14419,47,06,34,37,09,11,10
14418,11,44,20,40,07,45,33
14417,41,38,12,02,30,48,03
14416,39,41,33,43,23,32,35
14415,20,27,18,03,41,23,33
14414,43,42,38,28,24,37,33
14413,39,08,01,40,03,26,23
14412,13,21,24,48,16,27,08
14411,02,41,47,29,48,28,03
14410,11,32,13,14,26,02,27
14409,25,44,11,41,22,34,38
14408,38,27,10,05,20,22,41
14407,16,41,40,33,17,01,13
14406,43,28,32,21,02,14,11
14405,04,49,28,15,21,32,03
14404,07,39,20,46,04,37,30
14403,42,25,31,30,02,08,16
14402,33,17,30,19,06,44,02
14401,06,14,49,23,26,19,16
14400,19,18,40,43,26,31,24
14399,29,36,12,19,30,08,45
14398,04,41,13,22,26,17,02
14397,44,06,26,24,20,49,40
14396,47,20,13,30,34,21,11
14395,33,11,23,18,25,21,07
14394,10,25,44,23,14,49,27
14393,04,06,13,18,41,49,12
14392,35,43,41,34,04,48,45
14391,38,48,47,11,13,37,15
14390,17,35,19,16,43,37,36
14389,04,42,36,27,37,02,43
14388,22,19,49,44,01,25,43
14387,22,24,27,49,38,35,44
14386,26,49,46,04,38,33,48
14385,01,19,12,03,36,39,33
14384,28,04,15,27,22,01,34
14383,22,09,42,13,39,41,11
14382,10,45,49,25,44,12,19
14381,14,26,44,21,04,34,29
14380,30,46,20,29,48,14,32
14379,45,19,11,18,38,09,44
14378,06,29,17,41,43,13,35
14377,32,01,35,07,17,47,05
14376,38,21,16,41,22,32,08
14375,08,33,44,32,27,39,47
14374,07,46,41,13,18,17,26
14373,43,31,32,30,22,12,02
14372,23,49,31,28,35,25,41
14371,31,39,40,44,15,38,10
14370,08,16,30,11,02,20,05
14369,31,36,45,22,46,44,03
14368,41,38,10,24,08,14,25
14367,38,21,32,29,12,35,16
14366,43,13,45,21,18,49,23
14365,44,04,09,22,27,08,12
14364,11,39,35,27,42,33,21
14363,19,11,49,28,24,02,34
14362,09,11,15,13,19,42,34
14361,46,18,05,02,40,26,25
14360,13,45,19,23,02,04,35
14359,33,21,38,10,39,25,22
14358,39,03,28,49,18,27,44
14357,46,03,18,33,10,29,37
14356,14,16,23,02,30,24,11
14355,25,23,03,08,39,45,17
14354,31,37,06,42,33,25,04
14353,16,49,41,10,34,06,46
14352,31,20,15,26,04,37,48
14351,08,05,34,22,36,27,21
14350,05,18,19,43,20,23,41
14349,40,38,04,44,17,15,19
14348,30,49,39,46,21,31,45
14347,37,27,20,32,47,45,04
14346,45,04,21,23,26,28,24
14345,47,18,31,13,14,27,21
14344,44,42,34,16,11,47,13
14343,30,17,37,10,15,23,36
14342,28,21,06,08,26,43,37
14341,28,14,41,49,20,42,37
14340,09,16,17,21,44,29,06
14339,47,10,37,23,19,40,09
14338,13,35,17,36,14,15,22
14337,31,25,15,36,07,08,43
14336,39,05,41,23,07,09,28
14335,19,46,14,43,15,09,31
14334,20,12,18,41,11,09,03
14333,45,47,02,30,03,09,17
14332,35,32,05,39,48,14,28
14331,15,46,21,42,03,36,24
14330,16,12,11,26,36,18,03
14329,11,13,31,19,24,10,21
14328,20,01,29,26,03,28,02
14327,25,08,01,45,12,31,47
14326,16,13,31,06,01,48,47
14325,48,12,13,05,04,45,21
14324,17,02,30,46,09,48,11
14323,03,10,05,22,17,08,11
14322,16,04,09,38,13,06,26
14321,25,09,06,29,18,47,39
14320,46,05,48,44,23,32,35
14319,14,42,43,30,35,05,33
14318,09,41,25,23,30,40,36
14317,08,47,35,03,12,13,05
14316,17,06,07,46,42,36,21
14315,15,46,47,01,45,17,20
14314,25,23,43,07,16,32,30
14313,17,34,40,42,19,45,01
14312,28,14,01,24,26,19,20
14311,03,20,04,08,33,23,26
14310,35,47,06,25,49,01,41
14309,20,45,04,23,11,35,12
14308,20,21,13,43,25,01,49
14307,40,15,23,02,04,01,43
14306,03,09,17,27,29,30,31
14305,04,25,32,21,35,12,18
14304,38,31,21,20,37,24,42
14303,03,02,06,39,45,05,30
14302,21,12,30,09,36,31,17
14301,04,30,48,06,14,12,25
14300,23,07,21,41,30,10,11
14299,25,45,31,21,28,34,05
14298,32,48,11,30,31,14,34
14297,18,13,02,47,48,10,42
14296,10,20,48,13,21,33,43
14295,38,07,06,30,17,41,09
14294,25,29,24,16,18,11,39
14293,15,13,38,42,04,20,47
14292,48,02,11,42,26,17,24
14291,12,33,28,16,43,13,03
14290,41,44,03,45,11,12,10
14289,42,08,09,21,16,29,05
14288,32,24,30,01,07,35,42
14287,44,27,33,20,22,21,39
14286,04,43,01,18,09,21,20
14285,38,15,49,12,21,48,44
14284,12,45,40,36,44,06,26
14283,27,30,21,48,43,38,41
14282,23,31,37,33,26,04,17
14281,36,19,03,13,12,08,37
14280,03,47,20,14,48,36,46
14279,15,42,36,27,09,41,48
14278,12,06,48,05,33,39,45
14277,21,12,42,05,29,02,15
14276,13,03,48,31,14,49,02
14275,15,03,32,23,36,40,09
14274,16,03,29,10,48,19,24
14273,23,29,19,31,48,01,25
14272,28,15,16,18,22,41,31
14271,01,28,46,32,04,42,38
14270,47,10,13,19,33,32,07
14269,39,13,37,11,47,14,36
14268,45,33,35,04,34,39,37
14267,49,28,22,42,24,27,35
14266,10,02,42,38,01,24,41
14265,02,12,25,23,21,10,32
14264,32,29,18,14,20,05,13
14263,04,02,30,09,28,11,48
14262,21,37,31,12,25,04,08
14261,42,47,32,18,21,03,09
14260,13,24,46,25,26,22,32
14259,47,11,14,07,37,40,32
14258,49,44,14,02,04,25,34
14257,12,13,49,16,42,11,23
14256,20,16,09,17,45,28,43
14255,12,25,13,08,05,47,19
14254,13,03,26,22,33,23,15
14253,13,19,07,08,39,26,44
14252,30,09,39,28,06,43,01
14251,05,49,44,20,21,27,16
14250,42,34,27,02,05,46,15
14249,08,41,11,02,39,33,38
14248,24,35,19,05,02,27,01
14247,02,33,09,46,24,08,31
14246,02,08,47,09,31,29,25
14245,09,29,25,27,34,13,22
14244,31,36,41,37,17,29,01
14243,14,31,44,12,21,39,06
14242,08,11,17,04,14,32,07
14241,46,27,01,02,26,22,07
14240,20,39,36,13,43,40,08
14239,33,36,10,35,14,44,46
14238,11,34,45,42,37,38,03
14237,25,06,41,18,01,23,08
14236,35,31,10,47,03,12,24
14235,05,31,14,36,47,45,10
14234,42,43,11,39,20,46,35
14233,07,44,16,43,20,42,03
14232,46,04,35,13,12,38,44
14231,16,19,15,20,44,12,30
14230,46,13,49,27,14,21,03
14229,26,36,47,23,20,46,15
14228,06,48,47,43,13,20,44
14227,22,36,23,35,38,01,44
14226,08,35,12,17,09,42,11
14225,48,35,41,34,10,40,01
14224,33,15,06,45,31,41,01
14223,43,31,20,35,37,47,02
14222,19,01,41,32,46,10,49
14221,31,21,15,27,43,37,05
14220,35,24,26,40,12,16,25
14219,07,32,13,18,42,33,15
14218,03,30,02,23,34,24,29
14217,32,33,44,09,18,02,13
14216,26,02,46,25,47,39,38
14215,36,48,10,32,12,24,23
14214,38,12,44,33,19,06,14
14213,24,05,31,40,18,03,13
14212,49,40,36,13,07,16,20
14211,05,04,17,08,37,20,09
14210,39,19,43,15,04,22,01
14209,43,15,09,42,44,34,20
14208,14,01,36,26,27,46,15
14207,13,36,31,04,42,28,21
14206,12,49,28,30,38,11,05
14205,36,39,20,40,25,44,01
14204,02,37,06,24,22,07,34
14203,42,15,12,16,40,47,31
14202,28,33,10,36,34,30,48
14201,21,10,29,43,25,02,34
14200,05,04,41,35,10,26,32
14199,20,13,45,41,34,40,17
14198,41,38,46,07,21,40,09
14197,02,36,31,16,19,40,42
14196,32,02,40,39,37,38,41
14195,17,25,11,32,26,44,02
14194,36,14,03,45,32,01,38
14193,23,06,36,29,01,09,02
14192,28,09,35,14,01,43,37
14191,07,39,40,11,31,16,05
14190,21,28,41,22,31,14,11
14189,35,39,31,25,12,23,16
14188,05,41,14,25,38,34,31
14187,23,03,12,07,11,08,49
14186,19,32,29,37,10,07,21
14185,32,04,11,07,37,09,19
14184,16,06,28,23,08,33,37
14183,35,10,11,45,14,16,29
14182,04,39,43,42,24,37,11
14181,01,35,27,07,14,28,36
14180,24,09,15,16,44,38,49
14179,46,41,20,15,32,25,33
14178,20,35,22,38,31,08,19
14177,23,37,48,05,44,39,42
14176,24,09,43,27,04,36,02
14175,40,03,17,02,41,16,35
14174,06,10,23,30,11,05,39
14173,03,34,25,39,10,36,05
14172,40,01,43,03,13,15,33
14171,28,35,16,47,36,34,17
14170,15,28,44,06,27,30,35
14169,48,26,03,39,35,22,46
14168,05,45,35,38,42,29,47
14167,15,08,35,22,18,28,05
14166,02,29,23,24,49,21,18
14165,30,03,35,14,37,48,08
14164,35,25,47,07,10,41,12
14163,18,28,47,01,20,36,45
14162,25,45,43,42,44,28,06
14161,33,41,34,28,11,32,42
14160,11,19,28,34,42,25,46
14159,44,34,12,38,10,18,04
14158,09,22,38,01,13,11,16
14157,28,37,48,36,07,38,19
14156,30,38,33,28,44,45,04
14155,18,02,09,35,19,39,05
14154,28,49,23,31,29,39,33
14153,28,12,14,01,42,35,36
14152,30,27,47,33,28,03,37
14151,18,25,38,46,28,43,44
14150,33,24,21,32,30,37,29
14149,35,27,41,12,25,44,22
14148,11,04,43,09,32,37,10
14147,07,38,06,10,41,03,05
14146,07,23,21,06,40,10,37
14145,03,40,34,09,04,02,38
14144,03,41,20,26,32,33,43
14143,24,04,02,19,06,15,25
14142,47,32,26,06,13,09,34
14141,18,24,27,44,47,22,37
14140,25,22,29,07,39,05,20
14139,17,29,44,08,11,18,22
14138,47,39,30,14,22,03,11
14137,24,30,07,31,15,17,20
14136,01,21,24,09,05,11,23
14135,42,49,33,08,09,03,19
14134,02,08,29,15,36,39,37
14133,36,37,16,03,46,30,41
14132,30,07,17,22,34,13,48
14131,07,28,02,16,45,12,15
14130,07,16,37,32,05,18,45
14129,33,19,34,20,06,40,09
14128,01,04,45,49,02,26,17
14127,46,24,44,12,05,49,23
14126,38,13,25,03,08,14,19
14125,37,07,02,17,06,46,49
14124,29,30,27,20,18,44,17
14123,22,43,15,35,18,39,02
14122,19,08,13,26,38,44,32
14121,33,04,40,17,45,30,49
14120,37,03,44,26,10,20,42
14119,43,19,35,38,02,42,23
14118,03,33,36,16,24,17,22
14117,07,44,38,45,31,26,24
14116,14,43,48,01,19,27,37
14115,19,02,24,32,23,30,26
14114,23,35,15,49,14,25,36
14113,20,26,44,03,05,01,17
14112,13,11,42,14,37,43,30
14111,15,24,41,33,04,42,39
14110,16,09,25,29,13,46,19
14109,04,35,03,44,01,24,34
14108,12,41,21,31,49,36,18
14107,12,33,09,43,07,35,30
14106,08,31,33,06,39,17,28
14105,42,34,09,26,15,07,37
14104,34,12,19,02,26,09,39
14103,11,37,43,32,03,12,33
14102,42,15,40,25,23,31,48
14101,21,16,02,15,26,46,03
14100,24,44,34,23,38,33,22
14099,39,22,19,02,37,21,32
14098,05,13,35,27,25,28,31
14097,43,16,28,41,14,08,06
14096,40,48,44,01,43,03,39
14095,40,43,22,42,46,24,05
14094,04,36,15,08,03,07,05
14093,18,08,45,31,25,38,04
14092,15,04,37,35,49,19,42
14091,27,33,05,15,13,24,03
14090,07,31,48,30,05,28,39
14089,35,45,34,01,42,20,28
14088,06,20,13,22,39,19,42
14087,17,40,42,20,41,36,47
14086,42,24,12,41,48,29,21
14085,16,21,49,33,31,45,22
14084,20,40,14,10,34,24,46
14083,10,43,04,03,09,36,27
14082,12,02,29,25,45,10,19
14081,06,18,30,25,38,32,03
14080,12,19,20,25,05,23,16
14079,08,09,48,28,40,36,06
14078,36,20,49,08,12,23,17
14077,12,35,34,38,26,40,05
14076,22,21,38,32,04,27,49
14075,40,07,42,46,19,49,37
14074,44,41,13,43,47,35,33
14073,14,34,01,47,12,15,32
14072,40,30,26,25,42,35,47
14071,44,01,29,06,42,47,07
14070,01,47,13,10,44,23,42
14069,19,32,13,45,20,03,06
14068,05,44,36,45,02,04,01
14067,29,32,03,10,23,04,35
14066,05,24,02,08,44,43,03
14065,19,03,36,24,39,45,47
14064,17,31,27,25,42,23,15
14063,40,11,28,04,46,05,43
14062,38,26,40,08,30,20,46
14061,46,10,29,40,44,14,17
14060,49,19,03,22,34,06,29
14059,05,22,48,12,49,04,47
14058,33,24,12,28,43,38,23
14057,41,23,42,02,07,21,19
14056,39,46,19,49,25,20,31
14055,32,09,15,07,41,22,35
14054,48,05,23,25,28,14,19
14053,37,09,23,46,26,43,08
14052,06,27,16,19,22,21,48
14051,07,01,38,20,42,27,08
14050,17,33,41,08,49,47,44
14049,36,37,49,08,05,24,19
14048,24,36,46,03,27,16,34
14047,12,34,20,44,02,39,14
14046,44,46,17,27,07,37,34
14045,18,28,31,34,15,17,44
14044,31,19,04,21,12,17,44
14043,37,45,34,19,28,26,31
14042,21,02,06,20,09,34,26
14041,45,30,43,24,13,07,11
14040,15,28,10,34,35,33,30
14039,47,49,31,36,42,01,02
14038,15,46,48,11,08,06,36
14037,30,01,33,12,11,04,36
14036,17,39,25,47,40,26,45
14035,35,09,34,18,21,12,37
14034,12,14,26,27,09,49,10
14033,15,07,24,03,27,45,22
14032,22,41,27,48,42,05,32
14031,10,44,24,15,19,37,29
14030,14,04,19,27,46,15,09
14029,37,18,10,38,08,48,29
14028,13,09,18,23,36,22,11
14027,12,40,11,18,41,49,27
14026,11,05,40,29,03,49,21
14025,49,22,37,09,03,39,04
14024,21,25,26,17,10,33,38
14023,46,49,33,26,19,39,43
14022,19,21,06,29,02,49,04
14021,18,37,41,48,21,08,24
14020,49,46,35,12,41,21,26
14019,25,08,26,49,01,27,41
14018,12,18,08,10,45,40,42
14017,47,37,07,45,21,41,18
14016,01,49,12,44,11,17,42
14015,29,25,14,40,47,39,06
14014,37,09,35,25,12,24,40
14013,18,42,45,15,30,08,01
14012,40,05,26,20,30,09,34
14011,29,21,06,16,19,11,43
14010,05,12,26,24,39,13,44
14009,45,02,28,47,44,48,19
14008,21,28,03,30,32,16,26
14007,01,02,18,10,17,06,32
14006,28,33,10,31,44,32,15
14005,03,23,07,45,32,30,02
14004,07,35,04,27,36,37,33
14003,39,12,04,31,07,16,14
14002,39,28,40,03,47,01,18
14001,04,42,13,12,28,18,39
14000,30,47,36,27,17,35,05
13999,39,08,15,22,03,48,31
13998,34,39,23,11,07,02,42
13997,45,24,21,07,22,09,04
13996,32,47,38,26,15,18,23
13995,23,26,15,46,16,27,40
13994,28,42,16,10,32,24,40
13993,15,06,19,42,07,12,40
13992,09,17,43,13,26,04,06
13991,27,17,13,44,34,15,37
13990,11,07,06,10,34,24,31
13989,31,08,30,05,06,33,17
13988,24,18,14,39,25,33,10
13987,40,38,26,31,01,19,30
13986,39,36,49,12,35,26,31
13985,48,33,36,05,39,11,15
